arm_name,seed,N,line_outage_prob,evaluator_mode,truth_mode,proxy_mode,l0_proxy_mode,enable_hastings_correction,status,error,termination_reason,n_levels,pf_hat,acceptance_rate,level_acceptance_rates_json,reverse_proxy_rejects,truth_calls,proxy_calls,total_wall_clock_time,truth_engine_time,l0_prescreen_enabled,l0_truth_calls,l0_proxy_calls,l0_guard_active,l0_guard_mode,l0_guard_passed,l0_fallback_triggered,l0_fallback_reason,l0_tail_audit_count,l0_tail_audit_failure_hits,l0_rank_inversion_hits,l0_failure_recall_inside_final_k,l0_failure_recall_inside_final_k_observed,l0_failure_label_rank_inversion_hits,l0_failure_label_guard_passed,l0_failure_label_fallback_reason,l0_prescreen_K_initial,l0_prescreen_K_final
truth_only,901,1000,0.008,truth_only,acopf,fdxb,fdxb,True,ok,,threshold_reached_infinite,2,0.06915,0.41058823529411764,"[{""acceptance_rate"": 0.41058823529411764, ""accepted"": 349, ""attempts"": 850, ""level"": 1}]",0,1850,0,127.49272630199266,120.87580000639718,False,1000,0,False,not_applicable,True,False,not_applicable,0,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,
truth_only,902,1000,0.008,truth_only,acopf,fdxb,fdxb,True,ok,,threshold_reached_infinite,2,0.0795,0.4376470588235294,"[{""acceptance_rate"": 0.4376470588235294, ""accepted"": 372, ""attempts"": 850, ""level"": 1}]",0,1850,0,124.42192894600157,119.01795731378661,False,1000,0,False,not_applicable,True,False,not_applicable,0,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,
truth_only,903,1000,0.008,truth_only,acopf,fdxb,fdxb,True,ok,,threshold_reached_infinite,2,0.08985,0.4329411764705882,"[{""acceptance_rate"": 0.4329411764705882, ""accepted"": 368, ""attempts"": 850, ""level"": 1}]",0,1850,0,127.08972638999694,121.09514462978404,False,1000,0,False,not_applicable,True,False,not_applicable,0,not_applicable,0,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,
corrected_da_dcopf,901,1000,0.008,delayed_acceptance,acopf,dcopf,dcopf,True,ok,,threshold_reached_infinite,2,0.06825,0.22470588235294117,"[{""acceptance_rate"": 0.22470588235294117, ""accepted"": 191, ""attempts"": 850, ""level"": 1}]",10,1269,2118,148.9802965609997,75.91783612004656,True,1000,1000,True,legacy_truth_score,False,True,rank_inversion_guard_exceeded,200,0,85,1.0,1.0,0,not_applicable,not_applicable,200,1000
corrected_da_dcopf,902,1000,0.008,delayed_acceptance,acopf,dcopf,dcopf,True,ok,,threshold_reached_infinite,2,0.08085,0.2752941176470588,"[{""acceptance_rate"": 0.2752941176470588, ""accepted"": 234, ""attempts"": 850, ""level"": 1}]",15,1325,2175,150.47338411799865,80.68840363451454,True,1000,1000,True,legacy_truth_score,False,True,rank_inversion_guard_exceeded,200,0,76,1.0,1.0,0,not_applicable,not_applicable,200,1000
corrected_da_dcopf,903,1000,0.008,delayed_acceptance,acopf,dcopf,dcopf,True,ok,,threshold_reached_infinite,2,0.08925,0.31176470588235294,"[{""acceptance_rate"": 0.31176470588235294, ""accepted"": 265, ""attempts"": 850, ""level"": 1}]",18,1366,2216,153.92795529900468,88.64512322559312,True,1000,1000,True,legacy_truth_score,False,True,rank_inversion_guard_exceeded,200,0,74,1.0,1.0,0,not_applicable,not_applicable,200,1000
