group_type,group_key,n_total,acopf_failed_count,dcopf_failed_count,dcopf_success_count,true_certificate_count,false_certificate_count,missed_acopf_failure_count,safe_success_count,P_acopf_fail_given_dcopf_fail,P_dcopf_fail_given_acopf_fail,false_certificate_rate,missed_failure_rate,P_acopf_fail_given_dcopf_fail_wilson_lo,P_acopf_fail_given_dcopf_fail_wilson_hi,false_certificate_rate_wilson_lo,false_certificate_rate_wilson_hi
overall,all,30000,3790,3770,26230,3763,7,27,26203,0.9981432360742706,0.9928759894459103,0.001856763925729443,0.00712401055408971,0.9961720006848656,0.9991002969123626,0.0008997030876373158,0.003827999315134437
by_seed,7,6000,794,782,5218,778,4,16,5202,0.9948849104859335,0.9798488664987406,0.005115089514066497,0.020151133501259445,0.9869221849571621,0.9980091294451297,0.001990870554870335,0.013077815042837903
by_seed,42,6000,807,807,5193,807,0,0,5193,1.0,1.0,0.0,0.0,0.9952622065764755,0.9999999999999999,0.0,0.004737793423524397
by_seed,100,6000,728,719,5281,719,0,9,5272,1.0,0.9876373626373627,0.0,0.012362637362637362,0.9946854193228503,1.0,0.0,0.005314580677149738
by_seed,200,6000,734,735,5265,732,3,2,5263,0.9959183673469387,0.997275204359673,0.004081632653061225,0.0027247956403269754,0.9880687374053662,0.9986109514481037,0.0013890485518961533,0.011931262594633764
by_seed,300,6000,727,727,5273,727,0,0,5273,1.0,1.0,0.0,0.0,0.9947435942343732,1.0,4.336808689942018e-19,0.005256405765626915
by_lop,0.005000,5000,246,245,4755,244,1,2,4753,0.9959183673469387,0.991869918699187,0.004081632653061225,0.008130081300813009,0.9772456789950358,0.9992791464360821,0.0007208535639181141,0.022754321004964263
by_lop,0.008000,5000,395,393,4607,392,1,3,4604,0.9974554707379135,0.9924050632911392,0.002544529262086514,0.007594936708860759,0.9857290706955464,0.9995506983609233,0.00044930163907657555,0.014270929304453535
by_lop,0.011000,5000,550,548,4452,547,1,3,4449,0.9981751824817519,0.9945454545454545,0.0018248175182481751,0.005454545454545455,0.9897365431558405,0.9996778105282602,0.0003221894717398222,0.01026345684415952
by_lop,0.014000,5000,717,714,4286,712,2,5,4281,0.9971988795518207,0.99302649930265,0.0028011204481792717,0.00697350069735007,0.9898446301589932,0.9992315114299033,0.000768488570096656,0.010155369841006852
by_lop,0.017000,5000,872,865,4135,865,0,7,4128,1.0,0.9919724770642202,0.0,0.008027522935779817,0.9955784805884064,0.9999999999999999,0.0,0.004421519411593551
by_lop,0.020000,5000,1010,1005,3995,1003,2,7,3988,0.9980099502487563,0.9930693069306931,0.001990049751243781,0.006930693069306931,0.9927730263948977,0.9994540982597557,0.0005459017402442948,0.007226973605102289
by_split,train,24000,3063,3043,20957,3036,7,27,20930,0.9976996385146237,0.9911851126346719,0.0023003614853762734,0.00881488736532811,0.9952589647228702,0.9988852664705072,0.0011147335294927735,0.004741035277129796
by_split,validation,6000,727,727,5273,727,0,0,5273,1.0,1.0,0.0,0.0,0.9947435942343732,1.0,4.336808689942018e-19,0.005256405765626915
by_split,unseen,0,0,0,0,0,0,0,0,,,,,,,,
by_split,other,0,0,0,0,0,0,0,0,,,,,,,,
by_seed_lop,"seed=7,lop=0.005000",1000,53,53,947,52,1,1,946,0.9811320754716981,0.9811320754716981,0.018867924528301886,0.018867924528301886,0.9005685649885059,0.9966616326132506,0.003338367386749398,0.09943143501149412
by_seed_lop,"seed=7,lop=0.008000",1000,83,82,918,81,1,2,916,0.9878048780487805,0.9759036144578314,0.012195121951219513,0.024096385542168676,0.9341050148733268,0.9978440634290349,0.0021559365709651473,0.0658949851266733
by_seed_lop,"seed=7,lop=0.011000",1000,118,117,883,116,1,2,881,0.9914529914529915,0.9830508474576272,0.008547008547008548,0.01694915254237288,0.9531693460245405,0.9984896853024199,0.0015103146975802076,0.04683065397545954
by_seed_lop,"seed=7,lop=0.014000",1000,156,154,846,153,1,3,843,0.9935064935064936,0.9807692307692307,0.006493506493506494,0.019230769230769232,0.9641379001160711,0.9988528450360307,0.0011471549639692283,0.03586209988392892
by_seed_lop,"seed=7,lop=0.017000",1000,179,175,825,175,0,4,821,1.0,0.9776536312849162,0.0,0.0223463687150838,0.9785195390781564,1.0,0.0,0.021480460921843688
by_seed_lop,"seed=7,lop=0.020000",1000,205,201,799,201,0,4,795,1.0,0.9804878048780488,0.0,0.01951219512195122,0.9812459969068782,0.9999999999999999,0.0,0.01875400309312171
by_seed_lop,"seed=42,lop=0.005000",1000,53,53,947,53,0,0,947,1.0,1.0,0.0,0.0,0.9324156955469234,1.0,0.0,0.06758430445307662
by_seed_lop,"seed=42,lop=0.008000",1000,83,83,917,83,0,0,917,1.0,1.0,0.0,0.0,0.9557631365612795,1.0,3.469446951953614e-18,0.04423686343872062
by_seed_lop,"seed=42,lop=0.011000",1000,113,113,887,113,0,0,887,1.0,1.0,0.0,0.0,0.9671212992632762,1.0,0.0,0.03287870073672391
by_seed_lop,"seed=42,lop=0.014000",1000,152,152,848,152,0,0,848,1.0,1.0,0.0,0.0,0.9753493290623299,1.0,0.0,0.024650670937670042
by_seed_lop,"seed=42,lop=0.017000",1000,189,189,811,189,0,0,811,1.0,1.0,0.0,0.0,0.9800789871065165,1.0,0.0,0.019921012893483563
by_seed_lop,"seed=42,lop=0.020000",1000,217,217,783,217,0,0,783,1.0,1.0,0.0,0.0,0.9826047266457046,1.0,0.0,0.017395273354295568
by_seed_lop,"seed=100,lop=0.005000",1000,46,45,955,45,0,1,954,1.0,0.9782608695652174,0.0,0.021739130434782608,0.9213457380593594,1.0,0.0,0.07865426194064076
by_seed_lop,"seed=100,lop=0.008000",1000,76,75,925,75,0,1,924,1.0,0.9868421052631579,0.0,0.013157894736842105,0.9512744540953,1.0,0.0,0.04872554590470005
by_seed_lop,"seed=100,lop=0.011000",1000,101,100,900,100,0,1,899,1.0,0.9900990099009901,0.0,0.009900990099009901,0.9630051925239981,0.9999999999999999,0.0,0.03699480747600191
by_seed_lop,"seed=100,lop=0.014000",1000,138,136,864,136,0,2,862,1.0,0.9855072463768116,0.0,0.014492753623188406,0.9725289184334275,0.9999999999999999,0.0,0.027471081566572464
by_seed_lop,"seed=100,lop=0.017000",1000,171,169,831,169,0,2,829,1.0,0.9883040935672515,0.0,0.011695906432748537,0.9777738692536981,1.0,0.0,0.022226130746301812
by_seed_lop,"seed=100,lop=0.020000",1000,196,194,806,194,0,2,804,1.0,0.9897959183673469,0.0,0.01020408163265306,0.9805824457545836,1.0,0.0,0.019417554245416534
by_seed_lop,"seed=200,lop=0.005000",1000,42,42,958,42,0,0,958,1.0,1.0,0.0,0.0,0.9161983874908382,1.0,0.0,0.08380161250916199
by_seed_lop,"seed=200,lop=0.008000",1000,69,69,931,69,0,0,931,1.0,1.0,0.0,0.0,0.9472609058559944,1.0,0.0,0.05273909414400562
by_seed_lop,"seed=200,lop=0.011000",1000,102,102,898,102,0,0,898,1.0,1.0,0.0,0.0,0.9637042523922542,1.0,0.0,0.03629574760774591
by_seed_lop,"seed=200,lop=0.014000",1000,138,139,861,138,1,0,861,0.9928057553956835,1.0,0.007194244604316547,0.0,0.9603754095443335,0.9987289410090068,0.0012710589909932825,0.039624590455666506
by_seed_lop,"seed=200,lop=0.017000",1000,175,174,826,174,0,1,825,1.0,0.9942857142857143,0.0,0.005714285714285714,0.97839875484701,1.0,0.0,0.021601245152990077
by_seed_lop,"seed=200,lop=0.020000",1000,208,209,791,207,2,1,790,0.9904306220095693,0.9951923076923077,0.009569377990430622,0.004807692307692308,0.9657857265177282,0.9973718517000637,0.002628148299936312,0.034214273482271684
by_seed_lop,"seed=300,lop=0.005000",1000,52,52,948,52,0,0,948,1.0,1.0,0.0,0.0,0.9312054095871178,1.0,0.0,0.06879459041288215
by_seed_lop,"seed=300,lop=0.008000",1000,84,84,916,84,0,0,916,1.0,1.0,0.0,0.0,0.9562667346678565,0.9999999999999999,0.0,0.043733265332143306
by_seed_lop,"seed=300,lop=0.011000",1000,116,116,884,116,0,0,884,1.0,1.0,0.0,0.0,0.9679443532129076,0.9999999999999999,0.0,0.03205564678709229
by_seed_lop,"seed=300,lop=0.014000",1000,133,133,867,133,0,0,867,1.0,1.0,0.0,0.0,0.9719266655753804,0.9999999999999998,0.0,0.02807333442461941
by_seed_lop,"seed=300,lop=0.017000",1000,158,158,842,158,0,0,842,1.0,1.0,0.0,0.0,0.9762632104477463,0.9999999999999999,0.0,0.023736789552253557
by_seed_lop,"seed=300,lop=0.020000",1000,184,184,816,184,0,0,816,1.0,1.0,0.0,0.0,0.9795487261607652,1.0,0.0,0.020451273839234757
