score_name,score_priority,K_initial,tail_audit,expand_factor,max_expand_rounds,pass_all_lops,mean_l0_truth_calls,max_K_final,max_tail_audit_failure_hits,mean_top100_recall,mean_top200_recall
best_trained_plus_weighted_baseflow_outage_topk10,2,100,25,1.5,3,False,183.33333333333334,225,50,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,100,25,1.5,3,False,183.33333333333334,225,50,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,100,25,1.5,3,False,183.33333333333334,225,50,0.7983897196733317,1.0
raw_success_fail,0,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,150,25,1.5,3,False,200.0,225,25,0.7983897196733317,1.0
raw_success_fail,0,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,125,50,1.5,3,False,206.5,188,50,0.7983897196733317,1.0
raw_success_fail,0,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,100,50,1.5,3,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_success_fail,0,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,175,25,1.5,3,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_success_fail,0,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,150,50,1.5,3,False,225.0,225,34,0.7983897196733317,1.0
raw_success_fail,0,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_combined_damage_severity,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_generator_derate_severity,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_n_outaged_lines,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk10,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk20,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
raw_plus_weighted_baseflow_outage_topk5,1,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_combined_damage_severity,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_generator_derate_severity,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_n_outaged_lines,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk10,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk20,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
best_trained_plus_weighted_baseflow_outage_topk5,2,175,50,1.5,3,False,239.66666666666666,263,9,0.7983897196733317,1.0
