score_name,method_family,score_priority,K_initial,tail_audit,expand_factor,max_expand_rounds,n_lops,pass_all_lops,mean_l0_truth_calls,max_K_final,max_tail_audit_failure_hits,mean_top100_recall,mean_top200_recall
raw_success_fail,raw_success_fail,0,125,25,1.5,3,6,False,181.5,188,25,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,25,1.5,3,6,False,181.5,188,25,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,25,1.5,3,6,False,181.5,188,25,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,25,1.5,3,6,False,181.5,188,25,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,25,1.5,3,6,False,183.33333333333334,225,50,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,25,1.5,3,6,False,183.33333333333334,225,50,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,25,1.5,3,6,False,183.33333333333334,225,50,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,25,1.5,3,6,False,183.33333333333334,225,50,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,25,1.25,3,6,False,187.66666666666666,188,25,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,25,1.25,3,6,False,187.66666666666666,188,25,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,25,1.25,3,6,False,187.66666666666666,188,25,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,25,1.25,3,6,False,187.66666666666666,188,25,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,25,2.0,3,6,False,191.66666666666666,200,25,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,25,2.0,3,6,False,191.66666666666666,200,25,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,25,2.0,3,6,False,191.66666666666666,200,25,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,25,2.0,3,6,False,191.66666666666666,200,25,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,50,1.25,3,6,False,196.0,197,127,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,50,1.25,3,6,False,196.0,197,127,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,50,1.25,3,6,False,196.0,197,127,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,50,1.25,3,6,False,196.0,197,127,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,25,1.5,3,6,False,200.0,225,25,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,25,1.5,3,6,False,200.0,225,25,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,25,1.5,3,6,False,200.0,225,25,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,25,1.5,3,6,False,200.0,225,25,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,50,1.25,3,6,False,204.33333333333334,197,77,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,50,1.25,3,6,False,204.33333333333334,197,77,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,50,1.25,3,6,False,204.33333333333334,197,77,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,50,1.25,3,6,False,204.33333333333334,197,77,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,50,1.5,3,6,False,206.5,188,50,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,50,1.5,3,6,False,206.5,188,50,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,50,1.5,3,6,False,206.5,188,50,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,50,1.5,3,6,False,206.5,188,50,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,25,1.25,3,6,False,207.33333333333334,219,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,25,1.25,3,6,False,207.33333333333334,219,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,25,1.25,3,6,False,207.33333333333334,219,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,25,1.25,3,6,False,207.33333333333334,219,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,50,1.5,3,6,False,208.33333333333334,225,84,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,50,1.5,3,6,False,208.33333333333334,225,84,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,50,1.5,3,6,False,208.33333333333334,225,84,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,50,1.5,3,6,False,208.33333333333334,225,84,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,25,2.0,3,6,False,212.5,250,25,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,25,2.0,3,6,False,212.5,250,25,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,25,2.0,3,6,False,212.5,250,25,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,25,2.0,3,6,False,212.5,250,25,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,50,1.25,3,6,False,212.66666666666666,188,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,50,1.25,3,6,False,212.66666666666666,188,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,50,1.25,3,6,False,212.66666666666666,188,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,50,1.25,3,6,False,212.66666666666666,188,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,25,1.5,3,6,False,214.66666666666666,263,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,25,1.5,3,6,False,214.66666666666666,263,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,25,1.5,3,6,False,214.66666666666666,263,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,25,1.5,3,6,False,214.66666666666666,263,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,50,2.0,3,6,False,216.66666666666666,200,50,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,50,2.0,3,6,False,216.66666666666666,200,50,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,50,2.0,3,6,False,216.66666666666666,200,50,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,50,2.0,3,6,False,216.66666666666666,200,50,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,75,1.25,3,6,False,221.0,197,161,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,75,1.25,3,6,False,221.0,197,161,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,75,1.25,3,6,False,221.0,197,161,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,75,1.25,3,6,False,221.0,197,161,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,50,1.5,3,6,False,225.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,50,1.5,3,6,False,225.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,50,1.5,3,6,False,225.0,225,34,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,50,1.5,3,6,False,225.0,225,34,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,150,25,2.0,3,6,False,225.0,300,25,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,150,25,2.0,3,6,False,225.0,300,25,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,150,25,2.0,3,6,False,225.0,300,25,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,150,25,2.0,3,6,False,225.0,300,25,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,25,2.0,3,6,False,229.16666666666666,350,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,25,2.0,3,6,False,229.16666666666666,350,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,25,2.0,3,6,False,229.16666666666666,350,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,25,2.0,3,6,False,229.16666666666666,350,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,75,1.25,3,6,False,229.33333333333334,197,86,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,75,1.25,3,6,False,229.33333333333334,197,86,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,75,1.25,3,6,False,229.33333333333334,197,86,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,75,1.25,3,6,False,229.33333333333334,197,86,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,125,75,1.5,3,6,False,231.5,188,59,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,125,75,1.5,3,6,False,231.5,188,59,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,125,75,1.5,3,6,False,231.5,188,59,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,125,75,1.5,3,6,False,231.5,188,59,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,175,50,1.25,3,6,False,232.33333333333334,219,9,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,175,50,1.25,3,6,False,232.33333333333334,219,9,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,175,50,1.25,3,6,False,232.33333333333334,219,9,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,175,50,1.25,3,6,False,232.33333333333334,219,9,0.7983897196733317,1.0
raw_success_fail,raw_success_fail,0,100,75,1.5,3,6,False,233.33333333333334,225,109,0.7983897196733317,1.0
base_margin_m1.2_e10,base_margin,1,100,75,1.5,3,6,False,233.33333333333334,225,109,0.7983897196733317,1.0
base_margin_m1.2_e20,base_margin,2,100,75,1.5,3,6,False,233.33333333333334,225,109,0.7983897196733317,1.0
base_margin_m1.2_e5,base_margin,2,100,75,1.5,3,6,False,233.33333333333334,225,109,0.7983897196733317,1.0
